,Date,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Game Played,Match Result,Points,Minutes Played,Seconds Played,Trp Dbl
0,28-10-2008,CHI,MIL,3,9,0.333,0,0,,5,7,0.714,1,3,4,9,3,0,4,2,11,11.2,7,Yes,W ,13,32,12,No
1,31-10-2008,CHI,BOS,6,14,0.429,0,0,,6,6,1.0,2,2,4,1,1,0,3,4,18,9.7,-15,Yes,L ,-16,28,17,No
2,01-11-2008,CHI,MEM,11,20,0.55,0,1,0.0,4,4,1.0,2,4,6,3,0,0,2,0,26,19.1,8,Yes,W ,10,37,9,No
3,03-11-2008,CHI,ORL,7,16,0.438,0,0,,0,0,,0,4,4,1,0,0,3,3,14,3.3,-8,Yes,L ,-3,38,58,No
4,05-11-2008,CHI,CLE,7,16,0.438,1,3,0.333,5,6,0.833,0,0,0,7,1,0,3,1,20,13.7,-18,Yes,L ,-14,39,27,No
5,07-11-2008,CHI,PHO,8,11,0.727,1,2,0.5,1,2,0.5,0,4,4,6,2,0,3,1,18,17.1,11,Yes,W ,17,40,29,No
6,08-11-2008,CHI,CLE,7,21,0.333,0,2,0.0,3,4,0.75,3,2,5,9,1,0,3,2,17,10.9,-12,Yes,L ,-9,44,1,No
7,11-11-2008,CHI,ATL,9,17,0.529,0,0,,8,9,0.889,5,5,10,6,0,0,3,0,26,23.5,-11,Yes,L ,-5,42,29,No
8,13-11-2008,CHI,DAL,7,17,0.412,0,1,0.0,2,4,0.5,2,7,9,6,1,0,0,1,16,14.4,6,Yes,W ,7,41,52,No
9,15-11-2008,CHI,IND,8,15,0.533,3,5,0.6,4,4,1.0,0,4,4,8,3,1,1,0,23,25.2,20,Yes,W ,13,40,24,No
10,18-11-2008,CHI,LAL,11,18,0.611,1,2,0.5,2,2,1.0,0,3,3,9,0,0,2,1,25,21.6,-20,Yes,L ,-7,35,41,No
