,Date,Tm,Opp,GS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Game Played,Match Result,Points,Minutes Played,Seconds Played
0,2014-10-29,CHI,NYK,1,3,7,.429,0,3,.000,7,8,.875,0,3,3,5,2,0,3,2,13,11.5,+4,Yes,W ,+24,21,21
1,2014-10-31,CHI,CLE,1,8,16,.500,2,6,.333,2,3,.667,3,1,4,4,0,0,2,1,20,14.4,+8,Yes,L ,-6,25,18
2,2014-11-01,CHI,MIN,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,No,W ,+1,00,00
3,2014-11-04,CHI,ORL,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,No,W ,+8,00,00
4,2014-11-05,CHI,MIL,1,4,10,.400,2,5,.400,3,4,.750,0,2,2,7,2,0,4,2,13,9.9,+19,Yes,W ,+9,31,12
5,2014-11-07,CHI,PHI,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,W ,+3,00,00
6,2014-11-08,CHI,BOS,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,L ,-5,00,00
7,2014-11-10,CHI,DET,1,9,20,.450,2,5,.400,4,5,.800,0,2,2,7,1,0,3,2,24,15.9,+14,Yes,W ,+11,32,06
8,2014-11-13,CHI,TOR,1,5,14,.357,1,5,.200,9,10,.900,2,1,3,4,0,0,5,0,20,11.3,+1,Yes,W ,+7,29,51
9,2014-11-15,CHI,IND,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,L ,-9,00,00
10,2014-11-17,CHI,LAC,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,W ,+16,00,00
11,2014-11-20,CHI,SAC,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,L ,-15,00,00
12,2014-11-21,CHI,POR,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,L ,-18,00,00
13,2014-11-24,CHI,UTA,1,5,10,.500,3,5,.600,5,8,.625,0,3,3,5,1,0,4,0,18,13.2,+5,Yes,W ,+2,24,37
14,2014-11-25,CHI,DEN,1,1,4,.250,0,3,.000,0,0,,0,0,0,3,0,0,1,1,2,0.3,-8,Yes,L ,-5,9,52
15,2014-11-28,CHI,BOS,1,9,18,.500,2,6,.333,1,2,.500,1,3,4,4,0,1,1,2,21,14.9,+11,Yes,W ,+7,27,44
16,2014-11-30,CHI,BRK,1,5,12,.417,2,7,.286,2,3,.667,1,5,6,2,0,0,4,1,14,6.4,+14,Yes,W ,+18,25,56
17,2014-12-02,CHI,DAL,1,6,20,.300,4,11,.364,2,4,.500,1,4,5,10,0,0,7,2,18,6.7,-1,Yes,L ,-3,36,33
18,2014-12-03,CHI,CHO,1,5,12,.417,2,7,.286,3,3,1.000,0,2,2,5,0,0,2,2,15,9.9,0,Yes,W ,+7,27,48
19,2014-12-06,CHI,GSW,1,2,11,.182,1,7,.143,4,4,1.000,1,3,4,6,0,0,2,2,9,5.1,-19,Yes,L ,-10,31,11
21,2014-12-10,CHI,BRK,1,8,15,.533,3,7,.429,4,5,.800,0,4,4,4,0,0,5,4,23,12.7,+20,Yes,W ,+25,23,50
22,2014-12-12,CHI,POR,1,14,24,.583,0,2,.000,3,3,1.000,0,3,3,5,1,0,2,2,31,22.4,-5,Yes,W ,+9,31,34
23,2014-12-14,CHI,MIA,1,6,14,.429,1,3,.333,1,2,.500,0,2,2,3,1,0,1,3,14,7.7,+15,Yes,W ,+18,27,10
24,2014-12-15,CHI,ATL,1,6,21,.286,0,7,.000,2,3,.667,3,2,5,8,0,1,6,1,14,3.9,-9,Yes,L ,-7,31,30
