,Date,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Match Result,Points
0,2008-10-28,CHI,MIL,1,32:12,3,9,.333,0,0,,5,7,.714,1,3,4,9,3,0,4,2,11,11.2,+7,W ,+13
1,2008-10-31,CHI,BOS,1,28:17,6,14,.429,0,0,,6,6,1.000,2,2,4,1,1,0,3,4,18,9.7,-15,L ,-16
2,2008-11-01,CHI,MEM,1,37:09,11,20,.550,0,1,.000,4,4,1.000,2,4,6,3,0,0,2,0,26,19.1,+8,W ,+10
3,2008-11-03,CHI,ORL,1,38:58,7,16,.438,0,0,,0,0,,0,4,4,1,0,0,3,3,14,3.3,-8,L ,-3
4,2008-11-05,CHI,CLE,1,39:27,7,16,.438,1,3,.333,5,6,.833,0,0,0,7,1,0,3,1,20,13.7,-18,L ,-14
5,2008-11-07,CHI,PHO,1,40:29,8,11,.727,1,2,.500,1,2,.500,0,4,4,6,2,0,3,1,18,17.1,+11,W ,+17
6,2008-11-08,CHI,CLE,1,44:01,7,21,.333,0,2,.000,3,4,.750,3,2,5,9,1,0,3,2,17,10.9,-12,L ,-9
7,2008-11-11,CHI,ATL,1,42:29,9,17,.529,0,0,,8,9,.889,5,5,10,6,0,0,3,0,26,23.5,-11,L ,-5
8,2008-11-13,CHI,DAL,1,41:52,7,17,.412,0,1,.000,2,4,.500,2,7,9,6,1,0,0,1,16,14.4,+6,W ,+7
9,2008-11-15,CHI,IND,1,40:24,8,15,.533,3,5,.600,4,4,1.000,0,4,4,8,3,1,1,0,23,25.2,+20,W ,+13
10,2008-11-18,CHI,LAL,1,35:41,11,18,.611,1,2,.500,2,2,1.000,0,3,3,9,0,0,2,1,25,21.6,-20,L ,-7
11,2008-11-19,CHI,POR,1,29:47,1,8,.125,0,1,.000,4,4,1.000,0,0,0,1,1,0,3,1,6,-0.9,-32,L ,-42
12,2008-11-21,CHI,GSW,1,36:09,12,19,.632,0,1,.000,1,1,1.000,0,3,3,5,2,0,5,4,25,16.3,+1,W ,+5
13,2008-11-23,CHI,DEN,1,43:38,7,16,.438,0,0,,1,2,.500,1,1,2,6,0,2,4,3,15,7.6,-14,L ,-13
14,2008-11-24,CHI,UTA,1,34:39,10,18,.556,1,1,1.000,4,4,1.000,0,1,1,9,1,0,3,0,25,21.0,-11,W ,+1
15,2008-11-26,CHI,SAS,1,39:56,5,11,.455,0,0,,0,0,,1,5,6,6,0,0,2,2,10,7.9,-2,L ,-10
