,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2010-10-27,22-023,CHI,@,OKC,L (-11),1,31:19,12,31,.387,0,4,.000,4,4,1.000,1,3,4,6,0,1,2,4,28,14.0,-1
1,2,2,2010-10-30,22-026,CHI,,DET,W (+10),1,38:02,13,27,.481,3,7,.429,10,13,.769,1,5,6,7,2,2,7,3,39,26.4,+15
2,3,3,2010-11-01,22-028,CHI,,POR,W (+12),1,36:35,6,11,.545,0,3,.000,4,6,.667,0,5,5,13,1,0,6,2,16,14.7,+9
3,4,4,2010-11-04,22-031,CHI,,NYK,L (-8),1,34:59,9,17,.529,2,4,.500,4,6,.667,0,1,1,14,1,0,3,2,24,22.2,-10
4,5,5,2010-11-05,22-032,CHI,@,BOS,L (-5),1,45:36,8,19,.421,0,2,.000,2,2,1.000,2,3,5,9,0,0,6,2,18,9.7,-8
5,6,6,2010-11-08,22-035,CHI,,DEN,W (+2),1,39:30,7,21,.333,1,2,.500,3,5,.600,0,2,2,6,1,1,3,2,18,8.0,+6
6,7,7,2010-11-11,22-038,CHI,,GSW,W (+30),1,36:42,10,17,.588,0,3,.000,2,2,1.000,1,2,3,13,1,1,3,0,22,23.2,+31
7,8,8,2010-11-13,22-040,CHI,,WAS,W (+7),1,36:09,8,20,.400,1,4,.250,7,7,1.000,1,3,4,8,2,1,3,1,24,19.7,+12
8,9,9,2010-11-16,22-043,CHI,@,HOU,W (+3),1,37:41,13,20,.650,4,5,.800,3,6,.500,1,2,3,7,3,0,3,4,33,27.6,+6
9,10,10,2010-11-17,22-044,CHI,@,SAS,L (-9),1,37:50,15,27,.556,2,4,.500,1,1,1.000,0,3,3,4,0,0,4,2,33,19.0,-19
10,11,11,2010-11-19,22-046,CHI,@,DAL,W (+5),1,40:51,8,17,.471,1,3,.333,5,9,.556,2,2,4,6,1,0,4,0,22,14.9,+6
11,12,12,2010-11-23,22-050,CHI,@,LAL,L (-7),1,39:59,11,25,.440,2,5,.400,6,9,.667,1,4,5,8,1,1,3,1,30,21.5,+1
12,13,13,2010-11-24,22-051,CHI,@,PHO,W (+8),1,50:19,14,33,.424,1,5,.200,6,6,1.000,1,11,12,7,0,1,4,6,35,20.7,+7
13,14,,2010-11-26,22-053,CHI,@,DEN,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,15,14,2010-11-27,22-054,CHI,@,SAC,W (+11),1,42:02,10,23,.435,1,4,.250,9,9,1.000,2,5,7,7,1,0,1,3,30,24.5,+10
15,16,15,2010-12-01,22-058,CHI,,ORL,L (-29),1,31:56,5,13,.385,2,4,.500,3,6,.500,0,0,0,4,0,1,3,3,15,6.0,-24
16,17,16,2010-12-03,22-060,CHI,@,BOS,L (-12),1,36:19,7,17,.412,1,5,.200,5,5,1.000,0,3,3,8,0,0,4,2,20,12.6,-29
17,18,17,2010-12-04,22-061,CHI,,HOU,W (+3),1,44:02,13,28,.464,4,6,.667,0,0,,2,5,7,11,5,1,4,4,30,26.3,-4
18,19,18,2010-12-06,22-063,CHI,,OKC,W (+9),1,38:13,3,13,.231,1,2,.500,4,4,1.000,1,3,4,9,2,1,5,2,11,7.9,+13
19,20,19,2010-12-08,22-065,CHI,@,CLE,W (+5),1,37:43,11,22,.500,3,6,.500,4,6,.667,1,3,4,8,0,0,3,0,29,21.4,+3
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,20,2010-12-10,22-067,CHI,,LAL,W (+4),1,39:26,12,25,.480,3,5,.600,2,4,.500,2,3,5,9,0,0,4,2,29,19.3,+8
22,22,21,2010-12-11,22-068,CHI,,MIN,W (+31),1,29:31,8,10,.800,5,6,.833,0,0,,1,2,3,7,0,1,3,1,21,20.7,+19
23,23,22,2010-12-13,22-070,CHI,,IND,W (+19),1,38:45,6,18,.333,3,6,.500,2,3,.667,1,5,6,12,1,0,3,3,17,13.8,+25
24,24,23,2010-12-15,22-072,CHI,@,TOR,W (+17),1,29:37,3,9,.333,0,2,.000,0,0,,2,1,3,11,2,0,5,0,6,7.3,+22
