,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Tm,Opp,GS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Game Played,Match Result,Points,Minutes Played,Seconds Played,Trp Dbl,Team
0,0,0,0,2008-10-28,CHI,MIL,1,3,9,0.333,0,0,,5,7,0.714,1,3,4,9,3,0,4,2,11,11.2,7,Yes,W ,13,32,12,No,Illinois
1,1,1,1,2008-10-31,CHI,BOS,1,6,14,0.429,0,0,,6,6,1.0,2,2,4,1,1,0,3,4,18,9.7,-15,Yes,L ,-16,28,17,No,Illinois
2,2,2,2,2008-11-01,CHI,MEM,1,11,20,0.55,0,1,0.0,4,4,1.0,2,4,6,3,0,0,2,0,26,19.1,8,Yes,W ,10,37,9,No,Illinois
3,3,3,3,2008-11-03,CHI,ORL,1,7,16,0.438,0,0,,0,0,,0,4,4,1,0,0,3,3,14,3.3,-8,Yes,L ,-3,38,58,No,Illinois
4,4,4,4,2008-11-05,CHI,CLE,1,7,16,0.438,1,3,0.333,5,6,0.833,0,0,0,7,1,0,3,1,20,13.7,-18,Yes,L ,-14,39,27,No,Illinois
5,5,5,5,2008-11-07,CHI,PHO,1,8,11,0.727,1,2,0.5,1,2,0.5,0,4,4,6,2,0,3,1,18,17.1,11,Yes,W ,17,40,29,No,Illinois
6,6,6,6,2008-11-08,CHI,CLE,1,7,21,0.333,0,2,0.0,3,4,0.75,3,2,5,9,1,0,3,2,17,10.9,-12,Yes,L ,-9,44,1,No,Illinois
7,7,7,7,2008-11-11,CHI,ATL,1,9,17,0.529,0,0,,8,9,0.889,5,5,10,6,0,0,3,0,26,23.5,-11,Yes,L ,-5,42,29,No,Illinois
8,8,8,8,2008-11-13,CHI,DAL,1,7,17,0.412,0,1,0.0,2,4,0.5,2,7,9,6,1,0,0,1,16,14.4,6,Yes,W ,7,41,52,No,Illinois
9,9,9,9,2008-11-15,CHI,IND,1,8,15,0.533,3,5,0.6,4,4,1.0,0,4,4,8,3,1,1,0,23,25.2,20,Yes,W ,13,40,24,No,Illinois
10,10,10,10,2008-11-18,CHI,LAL,1,11,18,0.611,1,2,0.5,2,2,1.0,0,3,3,9,0,0,2,1,25,21.6,-20,Yes,L ,-7,35,41,No,Illinois
11,11,11,11,2008-11-19,CHI,POR,1,1,8,0.125,0,1,0.0,4,4,1.0,0,0,0,1,1,0,3,1,6,-0.9,-32,Yes,L ,-42,29,47,No,Illinois
12,12,12,12,2008-11-21,CHI,GSW,1,12,19,0.632,0,1,0.0,1,1,1.0,0,3,3,5,2,0,5,4,25,16.3,1,Yes,W ,5,36,9,No,Illinois
13,13,13,13,2008-11-23,CHI,DEN,1,7,16,0.438,0,0,,1,2,0.5,1,1,2,6,0,2,4,3,15,7.6,-14,Yes,L ,-13,43,38,No,Illinois
14,14,14,14,2008-11-24,CHI,UTA,1,10,18,0.556,1,1,1.0,4,4,1.0,0,1,1,9,1,0,3,0,25,21.0,-11,Yes,W ,1,34,39,No,Illinois
15,15,15,15,2008-11-26,CHI,SAS,1,5,11,0.455,0,0,,0,0,,1,5,6,6,0,0,2,2,10,7.9,-2,Yes,L ,-10,39,56,No,Illinois
16,16,16,16,2008-11-30,CHI,PHI,1,8,15,0.533,0,0,,2,2,1.0,0,5,5,10,1,1,2,1,18,18.5,14,Yes,W ,11,40,31,No,Illinois
17,17,17,17,2008-12-02,CHI,PHI,1,11,19,0.579,0,0,,2,3,0.667,1,5,6,2,0,0,6,5,24,10.3,-11,Yes,L ,-8,40,37,No,Illinois
18,18,18,18,2008-12-03,CHI,MIL,1,7,16,0.438,0,1,0.0,4,4,1.0,1,0,1,9,4,0,5,2,18,14.8,4,Yes,L ,-7,42,50,No,Illinois
19,19,19,19,2008-12-06,CHI,WAS,1,6,12,0.5,1,3,0.333,2,4,0.5,0,0,0,8,2,0,0,0,15,15.8,8,Yes,W ,7,36,49,No,Illinois
20,20,20,21,2008-12-09,CHI,NYK,1,7,11,0.636,0,1,0.0,1,3,0.333,0,3,3,7,1,2,2,2,15,14.7,7,Yes,W ,5,40,37,No,Illinois
21,21,21,22,2008-12-12,CHI,MEM,1,6,14,0.429,0,3,0.0,0,1,0.0,0,4,4,11,0,0,3,3,12,8.9,1,Yes,L ,-7,44,40,No,Illinois
22,22,22,23,2008-12-13,CHI,NJN,1,8,18,0.444,2,3,0.667,4,4,1.0,2,4,6,6,1,0,1,2,22,18.6,-5,Yes,W ,9,38,41,No,Illinois
23,23,23,24,2008-12-16,CHI,CHA,1,3,16,0.188,0,1,0.0,0,0,,0,5,5,7,0,0,3,2,6,-1.4,-9,Yes,L ,-9,46,58,No,Illinois
24,24,24,25,2008-12-17,CHI,LAC,1,5,17,0.294,0,2,0.0,6,8,0.75,0,1,1,7,1,0,1,2,16,9.7,7,Yes,W ,6,42,30,No,Illinois
25,25,25,26,2008-12-19,CHI,BOS,1,5,10,0.5,2,3,0.667,2,2,1.0,0,0,0,5,0,0,3,1,14,9.1,-26,Yes,L ,-18,22,58,No,Illinois
26,26,26,27,2008-12-20,CHI,UTA,1,10,17,0.588,0,1,0.0,4,6,0.667,2,3,5,3,0,0,3,3,24,15.5,4,Yes,W ,8,31,31,No,Illinois
27,27,27,28,2008-12-23,CHI,DET,1,4,9,0.444,0,1,0.0,2,2,1.0,1,3,4,5,1,0,2,6,10,7.0,-2,Yes,L ,-6,20,43,No,Illinois
28,28,28,29,2008-12-26,CHI,MIA,1,3,14,0.214,0,0,,4,4,1.0,1,2,3,3,1,0,5,0,10,0.8,-14,Yes,L ,-13,38,21,No,Illinois
29,29,29,30,2008-12-27,CHI,ATL,1,12,19,0.632,1,1,1.0,2,6,0.333,1,3,4,7,0,0,2,1,27,21.0,-10,Yes,L ,-12,41,31,No,Illinois
30,30,30,31,2008-12-29,CHI,NJN,1,9,15,0.6,1,2,0.5,2,2,1.0,1,3,4,13,2,0,3,1,21,23.4,24,Yes,W ,13,42,33,No,Illinois
31,31,31,32,2008-12-31,CHI,ORL,1,5,13,0.385,0,1,0.0,1,1,1.0,0,1,1,0,0,1,3,0,11,1.9,-26,Yes,L ,-19,27,25,No,Illinois
32,32,32,33,2009-01-02,CHI,CLE,1,1,6,0.167,0,0,,1,2,0.5,0,2,2,2,0,0,1,2,3,-1.0,-10,Yes,L ,-25,22,20,No,Illinois
